; Galvo Command Execution Queue
; Total Commands: 6044
; Field Size: 122.75000000000001mm

JUMP X:22051 Y:42870 SPEED:200000
MARK X:22066 Y:42870 SPEED:100000
MARK X:22080 Y:42870 SPEED:100000
MARK X:22094 Y:42870 SPEED:100000
MARK X:22108 Y:42870 SPEED:100000
MARK X:22122 Y:42870 SPEED:100000
MARK X:22137 Y:42870 SPEED:100000
MARK X:22151 Y:42870 SPEED:100000
MARK X:22165 Y:42870 SPEED:100000
MARK X:22179 Y:42871 SPEED:100000
MARK X:22193 Y:42871 SPEED:100000
MARK X:22208 Y:42871 SPEED:100000
MARK X:22222 Y:42871 SPEED:100000
MARK X:22236 Y:42871 SPEED:100000
MARK X:22250 Y:42871 SPEED:100000
MARK X:22264 Y:42871 SPEED:100000
MARK X:22278 Y:42871 SPEED:100000
MARK X:22293 Y:42871 SPEED:100000
MARK X:22307 Y:42871 SPEED:100000
MARK X:22321 Y:42871 SPEED:100000
MARK X:22335 Y:42872 SPEED:100000
MARK X:22349 Y:42872 SPEED:100000
MARK X:22364 Y:42872 SPEED:100000
MARK X:22378 Y:42872 SPEED:100000
MARK X:22392 Y:42872 SPEED:100000
MARK X:22406 Y:42872 SPEED:100000
MARK X:22420 Y:42872 SPEED:100000
MARK X:22435 Y:42872 SPEED:100000
MARK X:22449 Y:42872 SPEED:100000
MARK X:22463 Y:42872 SPEED:100000
MARK X:22477 Y:42872 SPEED:100000
MARK X:22491 Y:42872 SPEED:100000
MARK X:22506 Y:42873 SPEED:100000
MARK X:22520 Y:42873 SPEED:100000
MARK X:22534 Y:42873 SPEED:100000
MARK X:22548 Y:42873 SPEED:100000
MARK X:22562 Y:42873 SPEED:100000
MARK X:22577 Y:42873 SPEED:100000
MARK X:22591 Y:42873 SPEED:100000
MARK X:22605 Y:42873 SPEED:100000
MARK X:22619 Y:42873 SPEED:100000
MARK X:22633 Y:42873 SPEED:100000
MARK X:22647 Y:42873 SPEED:100000
MARK X:22662 Y:42874 SPEED:100000
MARK X:22676 Y:42874 SPEED:100000
MARK X:22690 Y:42874 SPEED:100000
MARK X:22704 Y:42874 SPEED:100000
MARK X:22718 Y:42874 SPEED:100000
MARK X:22733 Y:42874 SPEED:100000
MARK X:22747 Y:42874 SPEED:100000
MARK X:22761 Y:42874 SPEED:100000
MARK X:22775 Y:42874 SPEED:100000
MARK X:22789 Y:42874 SPEED:100000
MARK X:22804 Y:42874 SPEED:100000
MARK X:22818 Y:42875 SPEED:100000
MARK X:22832 Y:42875 SPEED:100000
MARK X:22846 Y:42875 SPEED:100000
MARK X:22860 Y:42875 SPEED:100000
MARK X:22875 Y:42875 SPEED:100000
MARK X:22889 Y:42875 SPEED:100000
MARK X:22903 Y:42875 SPEED:100000
MARK X:22917 Y:42875 SPEED:100000
MARK X:22931 Y:42875 SPEED:100000
MARK X:22946 Y:42875 SPEED:100000
MARK X:22960 Y:42875 SPEED:100000
MARK X:22974 Y:42875 SPEED:100000
