[12:46:21] INIT_CARD result=1 cards=1
[12:46:22] DISABLED_Z_HARD_LIMIT
[12:46:22] RESET_Z_AXIS
[12:46:27] MOVE_XY 32767 32767 SPEED=1000
[12:46:42] AXIS_MOVE Z REL 200 4000
[12:46:42] AXIS_MOVE Z REL 200 4000
[12:46:42] AXIS_MOVE Z REL 200 4000
[12:46:43] AXIS_MOVE Z REL 200 4000
[12:46:43] AXIS_MOVE Z REL 200 4000
[12:46:43] AXIS_MOVE Z REL 200 4000
[12:46:43] AXIS_MOVE Z REL 200 4000
[12:46:44] AXIS_MOVE Z REL 200 4000
[12:46:44] AXIS_MOVE Z REL 200 4000
[12:46:44] AXIS_MOVE Z REL 200 4000
[12:46:44] AXIS_MOVE Z REL 200 4000
[12:46:45] AXIS_MOVE Z REL 200 4000
[12:46:45] AXIS_MOVE Z REL 200 4000
[12:46:45] AXIS_MOVE Z REL 200 4000
[12:46:45] AXIS_MOVE Z REL 200 4000
[12:46:46] AXIS_MOVE Z REL 200 4000
[12:46:46] AXIS_MOVE Z REL 200 4000
[12:46:46] AXIS_MOVE Z REL 200 4000
[12:46:46] AXIS_MOVE Z REL 200 4000
[12:46:47] AXIS_MOVE Z REL 200 4000
[12:46:47] AXIS_MOVE Z REL 200 4000
[12:46:47] AXIS_MOVE Z REL 200 4000
[12:46:47] AXIS_MOVE Z REL 200 4000
[12:46:48] AXIS_MOVE Z REL 200 4000
[12:46:48] AXIS_MOVE Z REL 200 4000
[12:46:48] AXIS_MOVE Z REL 200 4000
[12:46:48] AXIS_MOVE Z REL 200 4000
[12:46:49] AXIS_MOVE Z REL 200 4000
[12:46:49] AXIS_MOVE Z REL 200 4000
[12:46:49] AXIS_MOVE Z REL 200 4000
[12:46:49] AXIS_MOVE Z REL 200 4000
[12:46:50] AXIS_MOVE Z REL 200 4000
[12:46:50] AXIS_MOVE Z REL 200 4000
[12:46:50] AXIS_MOVE Z REL 200 4000
[12:46:50] AXIS_MOVE Z REL 200 4000
[12:46:51] AXIS_MOVE Z REL 200 4000
[12:46:51] AXIS_MOVE Z REL 200 4000
[12:46:51] AXIS_MOVE Z REL 200 4000
[12:46:51] AXIS_MOVE Z REL 200 4000
[12:46:52] AXIS_MOVE Z REL 200 4000
[12:46:52] AXIS_MOVE Z REL 200 4000
[12:46:52] AXIS_MOVE Z REL 200 4000
[12:46:52] AXIS_MOVE Z REL 200 4000
[12:46:53] AXIS_MOVE Z REL 200 4000
[12:46:53] AXIS_MOVE Z REL 200 4000
[12:46:53] AXIS_MOVE Z REL 200 4000
[12:46:53] AXIS_MOVE Z REL 200 4000
[12:46:54] AXIS_MOVE Z REL 200 4000
[12:46:54] AXIS_MOVE Z REL 200 4000
[12:46:54] AXIS_MOVE Z REL 200 4000
[12:46:55] AXIS_MOVE Z REL 200 4000
[12:46:55] AXIS_MOVE Z REL 200 4000
[12:46:55] AXIS_MOVE Z REL 200 4000
[12:46:55] AXIS_MOVE Z REL 200 4000
[12:46:56] AXIS_MOVE Z REL 200 4000
[12:46:56] AXIS_MOVE Z REL 200 4000
[12:46:56] AXIS_MOVE Z REL 200 4000
[12:46:56] AXIS_MOVE Z REL 200 4000
[12:46:57] AXIS_MOVE Z REL 200 4000
[12:46:57] AXIS_MOVE Z REL 200 4000
[12:46:57] AXIS_MOVE Z REL 200 4000
[12:46:57] AXIS_MOVE Z REL 200 4000
[12:46:58] AXIS_MOVE Z REL 200 4000
[12:46:58] AXIS_MOVE Z REL 200 4000
