[16:19:47] INIT_CARD result=1 cards=1
[16:19:48] DISABLED_Z_HARD_LIMIT
[16:19:48] RESET_Z_AXIS
[16:19:53] MOVE_XY 32767 32767 SPEED=1000
[16:21:04] 
========================================
[16:21:04] EXECUTION BATCH START (Loops: 1)
[16:21:04] ========================================
[16:21:04] MOVE_XY 9388 57563 SPEED=2000000
[16:21:04] SET_IO pin=1 state=1
[16:21:04] LASER_ON
[16:21:04] MOVE_XY 9425 57563 SPEED=1000000
[16:21:04] MOVE_XY 9463 57563 SPEED=1000000
[16:21:04] MOVE_XY 9500 57563 SPEED=1000000
[16:21:04] MOVE_XY 9538 57563 SPEED=1000000
[16:21:04] MOVE_XY 9575 57563 SPEED=1000000
[16:21:04] MOVE_XY 9613 57563 SPEED=1000000
[16:21:04] MOVE_XY 9651 57563 SPEED=1000000
[16:21:04] MOVE_XY 9688 57563 SPEED=1000000
[16:21:04] MOVE_XY 9726 57563 SPEED=1000000
[16:21:04] MOVE_XY 9763 57563 SPEED=1000000
[16:21:04] MOVE_XY 9801 57563 SPEED=1000000
[16:21:04] MOVE_XY 9838 57563 SPEED=1000000
[16:21:04] MOVE_XY 9876 57563 SPEED=1000000
[16:21:04] MOVE_XY 9913 57563 SPEED=1000000
[16:21:04] MOVE_XY 9951 57563 SPEED=1000000
[16:21:04] MOVE_XY 9989 57563 SPEED=1000000
[16:21:04] MOVE_XY 10026 57563 SPEED=1000000
[16:21:04] MOVE_XY 10064 57563 SPEED=1000000
[16:21:04] MOVE_XY 10101 57563 SPEED=1000000
[16:21:04] MOVE_XY 10139 57563 SPEED=1000000
[16:21:04] MOVE_XY 10176 57563 SPEED=1000000
[16:21:04] MOVE_XY 10214 57563 SPEED=1000000
[16:21:04] MOVE_XY 10251 57563 SPEED=1000000
[16:21:04] MOVE_XY 10289 57563 SPEED=1000000
[16:21:04] MOVE_XY 10327 57563 SPEED=1000000
[16:21:04] MOVE_XY 10364 57563 SPEED=1000000
[16:21:04] MOVE_XY 10402 57563 SPEED=1000000
[16:21:04] MOVE_XY 10439 57563 SPEED=1000000
[16:21:04] MOVE_XY 10477 57563 SPEED=1000000
[16:21:04] MOVE_XY 10514 57563 SPEED=1000000
[16:21:04] MOVE_XY 10552 57563 SPEED=1000000
[16:21:04] MOVE_XY 10589 57563 SPEED=1000000
[16:21:04] MOVE_XY 10627 57563 SPEED=1000000
[16:21:04] MOVE_XY 10665 57563 SPEED=1000000
[16:21:04] MOVE_XY 10702 57563 SPEED=1000000
[16:21:04] MOVE_XY 10740 57563 SPEED=1000000
[16:21:04] MOVE_XY 10777 57563 SPEED=1000000
[16:21:04] MOVE_XY 10815 57563 SPEED=1000000
[16:21:04] MOVE_XY 10852 57563 SPEED=1000000
[16:21:04] MOVE_XY 10890 57563 SPEED=1000000
[16:21:04] MOVE_XY 10927 57563 SPEED=1000000
[16:21:04] MOVE_XY 10965 57563 SPEED=1000000
[16:21:04] MOVE_XY 11002 57563 SPEED=1000000
[16:21:04] MOVE_XY 11040 57563 SPEED=1000000
[16:21:04] MOVE_XY 11078 57563 SPEED=1000000
[16:21:04] MOVE_XY 11115 57563 SPEED=1000000
[16:21:04] MOVE_XY 11153 57563 SPEED=1000000
[16:21:04] MOVE_XY 11190 57563 SPEED=1000000
[16:21:04] MOVE_XY 11228 57563 SPEED=1000000
[16:21:04] MOVE_XY 11265 57563 SPEED=1000000
[16:21:04] MOVE_XY 11303 57563 SPEED=1000000
[16:21:04] MOVE_XY 11340 57563 SPEED=1000000
[16:21:04] MOVE_XY 11378 57563 SPEED=1000000
[16:21:04] MOVE_XY 11416 57563 SPEED=1000000
[16:21:04] MOVE_XY 11453 57563 SPEED=1000000
